idiom_word,idiom_meaning
তড়পানো,আস্ফালন করা
তড়ফদারি,পক্ষপাতমূলক আচরণ
তড়বড়,অতিব্যস্ততা
তড়িঘড়ি,অতিশীঘ্র
তৎকাল,তৎক্ষণাৎ
ততঃকিম,কিংকর্তব্যবিমূঢ় অবস্থা
তত্ত্বতালাশ,সন্ধান নেওয়া
তত্ত্বাবধান,রক্ষণাবেক্ষণ
তদবির,কার্যসিদ্ধির চেষ্টা
তথৈবচ,পূর্ববৎ
তন্নতন্ন,পুঙ্খানুপুঙ্খভাবে
তপ্তখোলা,পীড়াদায়ক অবস্থা
তবলা-বাঁয়া,আবশ্যক সঙ্গী
তবিলদারি,কোষাধ্যক্ষের কাজ
তমোজ্যোতি,জোনাকিপোকা
তয়নাত করা,নিয়োগ করা
তর না সওয়া,দেরি করতে অনিচ্ছা
তরতর,দ্রুতগতি
তর-তাজা,সজীব
তরি-তরকারি,নানাবিধ শাকসবজি
তর্জনগর্জন,প্রবল তিরস্কার
তলতল,অত্যন্ত নরম
তলশূন্য,অপরিমিত দুর্গতি
তলাতল,নরক
তলায় তলায়,গোপনে
তলিয়ে দেখা,গভীরভাবে বিবেচনা করা
তল্পিতল্পা,বিছানাপত্র
তল্পিতল্পা গুটানো,চিরদিনের জন্য পরিত্যাগ
তল্পিবাহক,আজ্ঞানুসারী
তল্লাট,অঞ্চল
তল্লাশ,অনুসন্ধান
তশরিফ রাখুন,বসতে আজ্ঞা হোক
তহখরচ,বাজে খরচ
তাঁতের মাকু,দিক পরিবর্তনকারী
তাঁতীকুলও গেল বৈষ্ণবকুলও গেল,সবদিক হারানো
তাঁবেদার,খুবই অনুগত
তা দেওয়া,গোপনে উৎসাহ দেওয়া
তাই তো,কিংকর্তব্যবিমূঢ় অবস্থা
তাইরে নাইরে,উদ্দেশ্যহীনভাবে সময় নষ্ট
তাক করা,লক্ষ্য স্থির করা
তাক লাগা,বিস্মিত হওয়া
তাকেতাকে,সতর্ক প্রতীক্ষায়
তাকেপাকে,বিশেষ সতর্কতায়
তাড়াহুড়া,অত্যধিক ব্যস্ততা
তাণ্ডবনৃত্য,প্রলঙ্কর কাণ্ড
তাত সয় তো বাত সয় না,কথার গরম সহ্য না হওয়া
তা-না-না,বাজে কাজে সময় নষ্ট
তাপ্পি মারা,কোনরকমে কাজ সারা
তাবড় তাবড়,বড় বড়
তা-বৈ-কি,নিশ্চিতে বা সন্দেহে
তামা তুলসী করা,শপথ করে সত্য বলা
তামাদি,দাবীর সময় অতিক্রান্ত
তামার বিষ,অর্থের কু-প্রভাব
তারকাটা,বুদ্ধিহীন
তারস্বর,উচ্চ স্বর
তারিয়ে তারিয়ে,ধীরে ধীরে উপভোগ করা
তাল করা,সুযোগ খোঁজা
তাল কাটা,সামঞ্জস্যহীন হওয়া
তালকানা,অসাবধান
তালগাছ দিয়ে দাঁতন করা,অসম্ভব ব্যাপার
তালগাছের আড়াই হাত,কাজের শেষ কঠিন অংশ
তালগোল পাকানো,বিশৃঙ্খল করা
তালজ্ঞান,ভালোমন্দ বোধ
তাল ঠুকে লাগা,সাহসের সাথে কাজে নামা
তাল ঠোকা,দ্বন্দ্বে আহ্বান করা
তাল তোলা,বায়না করা
তাল দেওয়া,সমর্থন করা
তাল পড়া,পিঠে কিল পড়া
তালপাতার খাঁড়া,অপদার্থ ব্যক্তি
তালপাতার ছায়া,ক্ষণস্থায়ী বিষয়
তালপাতার সেপাই,অত্যন্ত রোগা ব্যক্তি
তালবাহানা,আপত্তি
তালমিল,কাজে সঙ্গতি
তাল রাখা,সঙ্গতি রাখা
তাল সামলানো,ঝামেলা সামলানো
তালে তাল দেওয়া,অন্যায় সমর্থন করা
তালেগোলে,বিশৃঙ্খলার মধ্যে
তালেবর,চৌকশ বা ওস্তাদ
তাসের ঘর,ভঙ্গুর অবস্থা
তা হলে ঐ কথাই রইলো,আলোচনার ইতি টানা
তিক্ত,অপ্রীতিকর
তিড়বিড়,চঞ্চলতা
তিড়িংবিড়িং,লাফিয়ে চলা
তিতবিরক্ত,অত্যন্ত বিরক্ত
তিনঠেঙে,লাঠিযুক্ত বৃদ্ধ
তিনকাল,"শৈশব, যৌবন, প্রৌঢ়ত্ব"
তিনকুল,"পিতৃকুল, মাতৃকুল, শ্বশুরকুল"
তিনখানা,খণ্ড বিখণ্ড
তিন তালাক,চিরবিচ্ছেদ
তিনমাথা,অতিবৃদ্ধ
তিন লাফে,অতি দ্রুতপদে
তিনশত্রু,শত্রুকে দ্রব্য না দেওয়া
তিনসত্য,নিঃসন্দেহ সত্য
তিনসন্ধ্যা,সন্ধ্যা ঘনিয়ে আসার সময়
তিনাঞ্জলি,চিরবিদায়
তিমিঙ্গিল,অজেয় নয়
তিরস্করণী,বাধা
তিরিক্ষি,রগচটা
তিরোধান,মহাপুরুষের মৃত্যু
তিল,অতিসামান্য পরিমাণ
তিল কুড়িয়ে তাল,একটু করে সঞ্চয়
তিল তিল করে,ক্রমে ক্রমে
তিল ধারণের জায়গা না থাকা,অত্যন্ত ভিড়
তিলককাটা বামুন,ভণ্ড ধার্মিক
তিলকা,গায়ে তিলের মত চিহ্ন
তিলকাঞ্চন,কম খরচে শ্রাদ্ধ
তিলকে তাল করা,অতিরঞ্জিত করা
তিলাঞ্জলি,চিরবিচ্ছেদ
তিলে খচ্চর,দুষ্টচরিত্রের লোক
তিলে তাল,অল্পে বিশাল আড়ম্বর
তিলে তিলে তিলোত্তমা,সৃষ্ট সৌন্দর্য
তিলেক,ক্ষণমাত্র
তিলোত্তমা,অতি সুন্দরী নারী
তীরগলায় ঘণ্টা,বেমানান সাজ
তীরে এসে তরী ডোবা,শেষে বিফল হওয়া
তীর্থের কাক,লোভী প্রতীক্ষাকারী
তুইতোকারি করা,অপমান করা
তুচ্ছতাচ্ছিল্য করা,অবজ্ঞা করা
তুঘলকি কাণ্ড,উদ্ভট কাণ্ড
তুঙ্গী,উঁচুতে অবস্থিত
তুঙ্গে বৃহস্পতি,মহাসৌভাগ্য
তুড়ি দেওয়া,অগ্রাহ্য করা
তুড়িলাফ,স্ফূর্তিতে লাফিয়ে ওঠা
তুড়ুম ঠোকা,কড়াভাবে তিরস্কার করা
তুফান তোলা,প্রবল বিতর্ক সৃষ্টি করা
তুবড়ি ছোটানো,অনর্গল কথা বলা
তুম-তানা-নানা,অসার্থক আয়োজন
তুমতুমি,গর্ব
তুরীয়ানন্দ,চরম আনন্দ
তুরুপের তাস,অমোঘ অস্ত্র
তুর্কিনাচ,উদ্দাম নৃত্য
তুলকালাম কাণ্ড,তুমুল গোলমাল
তুলতুল,অত্যন্ত কোমল
তুলসীবনের বাঘ,ভণ্ড ব্যক্তি
তুলোধুনা করা,চূড়ান্ত ভর্ৎসনা করা
তুল্যমূল্য,সমান মর্যাদা
তুষানল,দীর্ঘস্থায়ী মর্মযন্ত্রণা
তৃণজ্ঞান করা,তুচ্ছ জ্ঞান করা
তৃপ্রান্তর,বিস্তৃত মাঠ
তেঁতুলে,দুষ্ট
তেঁদড়,বেহায়া
তে এঁটে,কুৎসিত বা ধূর্ত
তেজ,অহঙ্কার
তেজারতি,সুদের বিনিময়ে টাকা ধার দেওয়া
তেঠঙ্গা,লাঠিযুক্ত বৃদ্ধ
তেড়িবেড়ি,উৎপাত
তেড়েফুঁড়ে,তর্জন সহকারে তাড়া করা
তেতেপুড়ে,রোদে গরম হওয়া
তেরিয়া,উদ্ধত
তেরি-মেরি,কটুবাক্যে বিবাদ
তেরে-কেটে-তা,তুচ্ছতাচ্ছিল্য
তেরোস্পর্শ,অশুভ যোগ
তেল,অহঙ্কার
তেল কুচকুচে,চকচকে
তেল দেওয়া,তোষামোদ করা
তেলাপোকার পাখি হওয়া,অক্ষমের উচ্চাশা
তেলামাথায় তেল দেওয়া,তোষামোদ করা
তেলেবেগুনে জ্বলে ওঠা,প্রচণ্ড রেগে যাওয়া
তেলে ভাজা,তামাটে বর্ণ
তেলেনা ভাঁজা,বাজে ভণিতা
তেশন্নির দশা,অবলম্বনহীন অবস্থা
তৈরী ছেলে,অকালপক্ব
তৈরী ছেলের বাপ,ঘরজামাইয়ের বাপ
তৈলবট,বিধান দেওয়ার জন্য অর্থ
তৈলদান,তোষামোদ
তৈলাধার পাত্র কি পাত্রাধার তৈল,চুলচেরা বিচার
তোড়জোড়,উদ্যোগ
তোতাপাখি,অনুকরণকারী
তোতাবুলি,মুখস্থ কথা
তোতাবৃত্তি,অনুকরণের স্বভাব
তোপ দাগা,আক্রমণ করা
তোমার একদিন কি আমার একদিন,হেস্তনেস্ত করা
তোয়াক্কা,সমীহ
তোয়াজ,খাতির
তোলপাড়,প্রবল আলোড়ন
তোলা,স্মরণ রাখা বা জোর-জবরদস্তি অর্থ
তোলোহাঁড়ি,গোমড়ামুখো
ত্যাঁদড়,নির্লজ্জ
ত্যক্ত বিরক্ত,উত্ত্যক্ত
ত্যাজ্যপুত্র,বিতাড়িত পুত্র
ত্রাতা মধুদূদন,বিপদে উদ্ধারকারী
ত্রাহি মধুসুদন,বিপদ থেকে পরিত্রাণের প্রার্থনা
ত্রাহি ত্রাহি ডাক ছাড়া,পরিত্রাণের জন্য চিৎকার
ত্রিকুল,তিন কুল
ত্রিকোণ প্রেম,তিনজনের রসলীলা
ত্রিপাপ,তিন প্রকার পাপ
ত্রিফলা,তিনটি ফল
ত্রিবলি,উদর বা কণ্ঠের রেখাত্রয়
ত্রিবিদ্যা,বেদত্রয়ী
ত্রিবেণী,তিন নদীর মিলন
ত্রিভঙ্গমুরারি,বাঁকা চেহারার বৃদ্ধ
ত্রিভুবন,"স্বর্গ, মর্ত, পাতাল"
ত্রিমূর্তি,"ব্রহ্মা, বিষ্ণু, মহেশ্বর"
ত্রিযামা,রাত্রি
ত্রিরাত্র,তিন রাতের সময়
ত্রিলোক,"স্বর্গ, মর্ত, পাতাল"
ত্রিশঙ্কু অবস্থা,অনিশ্চিত অবস্থা
ত্রিশূল,তিন ফলকযুক্ত অস্ত্র
ত্রিসীমানা,সান্নিধ্য
ত্রুটি বিচ্যুতি,নানা স্খলন
ত্র্যহস্পর্শ,অশুভ যোগ
থ,হতবুদ্ধি বা নির্বাক
থ খেয়ে যাওয়া,বিস্ময়ে স্তম্ভিত হওয়া
থই পাওয়া,তলভূমি বা সীমা পাওয়া
থইথই,প্রাচুর্য
থওকা দর,আন্দাজী হিসাব
থকা,ক্লান্ত হওয়া
থতমত খাওয়া,কিংকর্তব্যবিমূঢ় হওয়া
থপথপ,ভারী পদক্ষেপ
থপথপে,কোমল স্থূল শরীর বা মন্থর গতি
থমথম,নিস্তব্ধতা বা ভয়াবহতা
থরথর,প্রবল কম্পন
থরহরি কম্প,ভীতিতে কাঁপা
থলথল,শিথিল মাংসের স্পন্দন
থলির মধ্যে হাতি পোরা,অসম্ভব কাজ
থাউকা,আন্দাজে কেনা
থাকা-খাওয়া,খোরপোশ
থাকাথাকি,অবস্থান
থাকা-না-থাকা,বাঁচা-মরা
থানা করা,বীজ বুনতে মাটি তৈরি করা
থানা-পুলিশ করা,মামলায় জড়ানো
থাবা দেওয়া,ভাগ বসানো বা হস্তক্ষেপ করা
থাবাথুবি দিয়ে রাখা,ভুলিয়ে চাপা রাখা
থাবড়ানো,চড় মারা বা শাসন করা
থিকথিক করা,পোকামাকড়ের প্রাচুর্য
থিতানো,মন্দীভূত হওয়া
থিতু হওয়া,স্থির হয়ে বসা
থির-থিরানি,মৃদু কম্পন
থুড়থুড়ে,বার্ধক্যজনিত কম্পন
থুড়া,জর্জরিত করা
থুত্কার,ধিক্কার জানানো
থুতু দিয়ে ছাতু গোলা,অসম্ভব কাজের চেষ্টা
থুম মেরে যাওয়া,বিস্ময়ে নির্বাক হওয়া
থেকে থেকে,মাঝে মাঝে
থেবড়া মারা,মাটিতে চেপ্টে বসা
থোঁতা মুখ,ভারী মুখ বা অহঙ্কার
থোঁতা মুখ ভোঁতা করা,দর্পচূর্ণ করা
থোকে থোকে,কিস্তিতে
থোড়,অতি সামান্য
থোড়কুচি করা,টুকরা টুকরা করা
থোড়-বড়ি-খাড়া,একঘেঁয়ে জীবন
থোড়াই কেয়ার করা,মোটেই গ্রাহ্য না করা
দকে পড়া,ভীষণ বিপদে পড়া
দক্ষযজ্ঞ,চূড়ান্ত হট্টগোল বা বিপর্যস্ত অবস্থা
দক্ষিণ নায়ক,একাধিক নায়িকার প্রতি অনুরক্ত
দক্ষিণ রায়,সুন্দরবনের বাঘ
দক্ষিণহস্ত,প্রধান সহায়
দক্ষিণহস্তের কাজ,আহার বা কঠিন কাজ
দক্ষিণা,সম্মাননীয় পারিশ্রমিক বা প্রাকপ্রেমিকের প্রতি অনুরাগ
দক্ষিণাপথ,ভারতের দক্ষিণাংশ
দক্ষিণার জোর,উৎকোচের জোর
দগদগে,জ্বালাময় ও লালচে ক্ষত
দগ্ধ,বেদনার্ত বা সন্তপ্ত
দগ্ধ কপাল,হতভাগ্য
দগ্ধপত্রন্যায়,পুড়ে গেলেও অবয়ব থাকা কিন্তু গ্রাহ্য না হওয়া
দগ্ধ প্রাণ,সন্তপ্ত চিত্ত
দড়কচা,আধপাকা-আধকাঁচা
দড়িকলসি,আত্মহত্যার উপায়
দড়ি ছিঁড়ে পালানো,মায়ার বন্ধন কাটিয়ে মৃত্যু
দড়িছেঁড়া,শাসন বহির্ভূত
দড়িদড়ি,কৃশ বা সরু
দণ্ডপাণি,শাসনকর্তা
দণ্ডপূপন্যায়,দুঃসাধ্য কাজের সিদ্ধি দেখে তৃপ্তি
দণ্ডপ্রণাম,মাটিতে শুয়ে প্রণাম
দণ্ডমুণ্ডের কর্তা,শাস্তিদানের অধিকারী
দণ্ডে দণ্ডে,প্রতি মুহূর্তে
দত্তপূর্বা,বিয়ের প্রতিশ্রুতি দেওয়া কন্যা
দধিকর্ম,মাঙলিক কাজের জন্য প্রস্তুত ভাগ
দধিমঙ্গল,বিয়ের পূর্বরাত্রে দইমিশ্রিত মিষ্টান্ন খাওয়ার আচার
দধীচি,আত্মবলিদানকারী মহাপুরুষ
দধীচির হাড়,শক্ত সমর্থ
দন্ত কচকচি,ঝগড়া
দন্তবিকাশ,দাঁত খিঁচুনি বা হাসাহাসি
দন্তরুচিকৌমুদী,হাসির সময়ে দাঁতের শোভা
দন্তস্ফুট,কঠিন বিষয় উপলব্ধি
দন্তে কুটা ধরা,ঘাট মানা
দপদপ,অতি আলো বা তীব্র জ্বালা
দফা,কিস্তি বা অবস্থা
দফারফা,ধ্বংস বা সর্বনাশ
দফা শেষ,সর্বনাশ বা জীবনান্ত
দবদব,অতি আলো প্রকাশ
দবদবা-রবরবা,প্রতাপ বা জাঁকজমক
দমকা খরচ,হঠাৎ ব্যয়বৃদ্ধি
দম খাওয়া,চুপ করে থাকা
দম টানা,শ্বাস গ্রহণ বা ধোঁয়া টানা
দম দেওয়া,শক্তি সঞ্চার বা প্রতারণা
দম দেওয়া পুতুল,একনাগাড়ে বকে যাওয়া বা শিখানো বুলি আওড়ানো
দম নেওয়া,বিশ্রাম করা
দম ফাটা,আবেগে অস্থির বা হিংসায় জ্বলা
দমফাটা হাসি,প্রবল হাসি
দম ফুরানো,ক্লান্ত হওয়া
দমবাজী,প্রতারণা
দম বার হওয়া,অত্যধিক ক্লান্তি বা মৃত্যু
দম রাখা,শ্বাস বন্ধ করে থাকা
দম লাগানো,ধোঁয়া গলাধঃকরণ করা
দমসম,অতি ভোজনে নাজেহাল
দমে ভারী,প্রাণবন্ত বা সিদ্ধ হতে বেশি সময় লাগে
দয়ার লেশ নেই,নির্দয়
দয়ে পড়া,গভীর সংকটে পড়া
দয়ে ফেলা,সর্বনাশ করা
দর-কচা,আধপাকা-আধকাঁচা
দর-কচা মারা,আধপাকা বা কৃশ হওয়া
দর-কষাকষি,দাম নিয়ে কথা কাটাকাটি
দরদস্তুর,দর-কষাকষি
দরকসুরি,দামে ছাড়
দরদর,অবিরাম প্রবাহ
দরদাম,ন্যায্য মূল্য
দরদাম করা,দর-কষাকষি করা
দরজায় কড়া নাড়া,সমাসন্ন হওয়া
দরাজ গলা,উঁচু-নিচু সুরের গলা
দরাজ হস্ত,মুক্তহস্ত দানশীল
দরের লোক,খুব কাজের লোক
দর্পণে মুখ দেখা,অবিকল প্রতিবিম্ব
দর্শনী,দেবদর্শনের প্রণামি বা ঘুষ
দলছুট,দল থেকে বিচ্ছিন্ন
দল,অসৎ সংসর্গ
দল পাকানো,শত্রুতার জন্য দলবদ্ধ হওয়া
দলবল,অনুবর্তীগণ
দল বাঁধা,জোটবদ্ধ হওয়া
দলা,নিপীড়ণ করা
দলাদলি,দুই দলের বিবাদ
দলিল-দস্তাবেজ,লিখিত প্রমাণপত্র
দলে দলে,প্রচুর সংখ্যায়
দলে ভারী,বহুসংখ্যক লোক
দশ,জনসাধারণ
দশ আনা-ছয় আনা,চুল ছাঁটার পদ্ধতি
দশকথা,অনেক কথা বা নিন্দাসূচক কথা
দশকর্ম,হিন্দুর দশ সংস্কার
দশগুণ,বহুগুণ
দশচক্র,বহুলোকের চক্রান্ত
দশচক্রে ভগবান ভূত,ষড়যন্ত্রে অসম্ভব সম্ভব
দশজনের একজন,শ্রেষ্ঠ ব্যক্তি
দশবাই চণ্ডী,দশভুজা দুর্গা বা কোপনস্বভাবা নারী
দশবার,বহুবার
দশভুজা,করিতকর্মা নারী
দশমুখে দশকথা,নানালোকের নানা কথা
দশমী দশা,জীবনের শেষ অবস্থা
দশাসই,বিরাট ও স্থূলকায়
দস্তানা পড়া বিড়াল,আয়েসী লোক
দস্তুর,দর বা প্রথা
দস্তুর মত,নিয়মমাফিক
দহ,কঠিন সঙ্কট
দহন,যন্ত্রণা
দহরম মহরম,ঘনিষ্ঠ সম্পর্ক
দহলা-নহলা করা,ইতঃস্তত করা
দাঁও মারা,সুযোগে লাভ করা
দাঁড়কাকের ময়ূরপুচ্ছ,ভণ্ডামির চিহ্ন
দাঁড়ি টানা,থামা বা বিরত হওয়া
দাঁত কপাটি লাভাল,চোয়াল আটকে যাওয়া
দাঁত-ক্যালানে,অকারণে দাঁত বিকশিত করা
দাঁত খিচানো,বিকৃত মুখভঙ্গী করে তিরস্কার
দাঁত থাকতে দাঁতের মর্যাদা বোঝা,সময়ে সুযোগের সদব্যবহার
দাঁত ফোটানো,কঠিন বিষয় বোধগম্য হওয়া
দাঁত বার করা,অপ্রতিভ ভাব বা নির্লজ্জতা
দাঁত ভাঙা,দর্পচূর্ণ বা উচ্চারণে কষ্ট
দাঁতে কাঠি দিয়ে পড়ে থাকা,না খেয়ে শুয়ে থাকা
দাঁতে কুটো করা,বিনীত বা বশ্যতা স্বীকার করা
দাঁতে জিভে সম্পর্ক,মন্দ-ভালোর সম্পর্ক
দাঁতে দড়ি দিয়ে পড়ে থাকা,খাওয়াদাওয়া বন্ধ করে শুয়ে থাকা
দাঁতের বদলে দাঁত,প্রতিশোধ নেওয়া
দাঁতের বাদ্যি,ঝগড়া
দাউদাউ,প্রবল শিখায় আগুন জ্বলা
দা-কুমড়াসম্পর্ক,চিরশত্রুতা
দাগ,অভিমান বা মালিন্য
দাগ কাটা,মনে রেখাপাত বা কার্যকর প্রভাব বিস্তার
দাগ লাগা,দোষ বা কলঙ্ক স্পর্শ করা
দাগা,আঘাত বা মর্মবেদনা
দাগাবাজ,বিশ্বাসঘাতক
দাগাবাজি,বিশ্বাসঘাতকতা
দাগা বুলানো,হুবহু অনুকরণ করা
দাগি,পুরানো চোর বা সাজাপ্রাপ্ত
দাঙ্গাহাঙ্গামা,মারামারি কাটাকাটি
দাণ্ডা-খাণ্ডা,পতিপুত্রহীনা নারী
দাতাকর্ণ,অতিশয় দানশীল বা ব্যঙ্গে অতিরিক্ত বদান্যতা
দাদ তোলা,প্রতিশোধ নেওয়া
দাদা হজম,গাঁজাখুরি গল্প
দাদাগিরি,অবাঞ্ছিত মাতব্বরি
দাদার দাদা,অতিরিক্ত চালাক বা শক্তিধর
দান-খয়রাত,স্বত্ব ত্যাগ করে দেওয়া
দানসামগ্রী,বিয়ে বা শ্রাদ্ধে দানের সামগ্রী
দানাপানি,অন্নজল
দাপাদাপি,আস্ফালন
দাবীদাওয়া,স্বত্বাধিকার বা অভাব-অভিযোগ
দাম/দামী,মর্যাদা বা মর্যাদাবান
দায়ঠেলা,অনিচ্ছায় বাধ্য হয়ে কিছু করা
দায়দায়িত্ব,কর্তব্য বা দায়িত্ব
দায় পড়া,প্রয়োজন অনুভব করা
দায়সারা,অবহেলাপূর্ণ কাজ
দায়ে ঠেকা,প্রয়োজনের চাপে বাধ্য হওয়া
দায়ে পড়ে ঢেলায় প্রণাম,প্রয়োজনের তাগিদে পূণ্যকর্ম
দারুভূত জগন্নাথ,নানাচিন্তায় কাষ্ঠবৎ
দার্শনিকতা,ব্যঙ্গে অত্যধিক চিন্তাশীলতা
দালাল,অযৌক্তিকভাবে পক্ষসমর্থনকারী
দালালি,গায়ে পড়ে মধ্যস্থ সাজা
দাসখৎ,দাসত্বের স্বীকারপত্র
দাসানুদাস,একান্ত অনুগত ব্যক্তি
দিকপাল,অতিপ্রভাবশালী ব্যক্তি
দিকদারি,বিরক্তিকর অবস্থা
দিগগজ,মহামূর্খ বা অষ্টহস্তী
দিগঙ্গনা,দিকের অধিষ্ঠাত্রী দেবী
দিগদিগন্ত,চারিদিক বা সর্বত্র
দিগবসনা,বিবস্ত্রা কালী
দিগবিদিক,সর্বদিক বা জ্ঞানহীনতা
দিগ্ভ্রান্ত,দিশাহারা
দিন আনা দিন খাওয়া,দিনমজুরি করে জীবন নির্বাহ
দিন আসা,সুদিন আসা
দিন কাটা,সময় অতিবাহিত করা
দিন কাটে তো রাত কাটে না,রাতের কষ্ট বুকে চেপে বসা
দিনকাল,সময় ও অবস্থা
দিন কেনা,কাজ গুছিয়ে নেওয়া
দিনকে দিন,প্রতিদিন
দিনকে রাত করা,সত্যকে মিথ্যা প্রতিপন্ন করা
দিনক্ষণ,শুভ-অশুভ সময়
দিনগত পাপক্ষয়,একঘেয়ে কর্তব্যপালন
দিন গোণা,দীর্ঘকাল অপেক্ষা করা
দিন ঘনিয়ে আসা,মৃত্যু আসন্ন
দিন চলা,জীবনযাত্রা নির্বাহ
দিন চালানো,জীবনযাত্রার খরচ জোগাড়
দিন দিন,ক্রমশ
দিন-দুনিয়া,ইহকাল ও পরকাল
দিনদুনিয়ার মালিক,সর্বশক্তিমান ঈশ্বর
দিনদুপুর,প্রকাশ্য দিবালোক
দিন ফুরানো,আয়ু শেষ হওয়া
দিনভর,সারাদিন
দিনমান,দিনের বেলা
দিনলিপি,দিনের ঘটনাবলীর বর্ণনা
দিনে ডাকাতি,প্রকাশ্যে প্রতারণা
দিনে তারা দেখা,অসম্ভব সম্ভব করে গর্ব
দিনে দিনে,ক্রমশ বা দিনের বেলায়
দিনের দিন,প্রতিদিন বা সেইদিনই
দিবাস্বপ্ন,অবাস্তব সুখকল্পনা
দিব্বি,চমৎকার বা প্রতিজ্ঞা
দিল খোলসা,অকপট মনের
দিলখুশ,প্রফুল্লচিত্ত বা মনোরম
দিল দরিয়া,উদার হৃদয়
দিলরুবা,দয়িতা
দিল্লি দূর অস্ত,লক্ষ্য বহুদূর
দিল্লি হিল্লি,নানা অনির্দিষ্ট জায়গা
দিল্লিকা লাড্ডু,লোভনীয় বস্তুতে নিরাশা
দিশপাশ,কূলকিনারা
দিশাহারা,কিংকর্তব্যবিমূঢ়
দীন দুনিয়ার মালিক,ধর্ম ও জগতের প্রভু
দীর্ঘনিশ্বাস,শোক-দুঃখসূচক গভীর শ্বাস
দীর্ঘসূত্রতা,কাজে অযথা দেরি
দীর্ঘসূত্রী,অলস বা বিলম্বে কাজ করা
দুইয়ে দুইয়ে চার,আপাত সম্পর্কহীন বিষয়ে কার্য-কারণ সম্পর্ক
দুইয়ের বার,উভয় উদ্দেশ্যে অযোগ্য
দু-এক কথা,অল্প কয়টি কথা
দু কথা,সামান্য বা কড়া কথা
দুঃখের উপর টনকের ঘা,কষ্টের উপর কষ্ট
দু কথা হওয়া,কথা কাটাকাটি বা মতভেদ
দু’কাঠি বাজানো,ঝগড়া বাঁধিয়ে দেওয়া
দু’কান কাটা,নির্লজ্জ বেহায়া
দু’কুল,পিতৃকুল-মাতৃকুল বা ইহকাল-পরকাল
দুখচাটা,দুঃখভোগে অভ্যস্ত
দুখীরাম,দুঃখকষ্টে দিন কাটায়
দুখের দুখী,সমবেদনশীল
দুঘড়ি,দুই ঘণ্টা বা দ্বিপ্রহর
দু-চার কথা,অল্প কড়া কথা
দু-চুচকো,দুই পক্ষকে খুশি করে কথা বলা
দুচোখের দেখা,কিছুক্ষণের দেখা
দু-চোখের বিষ,অত্যন্ত অপ্রিয় বিষয়
দুড়দাড়,দ্রুত ও জোর শব্দ
দুড়দুড়,ভয়জনিত মৃদু কম্পন
দুধ কলা দিয়ে সাপ পোষা,শত্রুকে পালন করা
দুধ ঘির শ্রাদ্ধ,দুধ ও ঘির অপচয়
দুধ মরে ক্ষীরটুকু,বিষয়ের সারাংশ
দুধে আলতা রঙ,উজ্জ্বল গৌরবর্ণ
দুধে গরুর চোনা,সামান্য ত্রুটিতে মূল্যবান নষ্ট
দুধে জলে মেশা,একাত্ম হওয়া
দুধে ভাতে থাকা,সচ্ছল অবস্থায় থাকা
দুধের ছেলে,কচি শিশু
দুধের মাছি,সুসময়ের সঙ্গী
দুধের সাধ ঘোলে মেটানো,নিকৃষ্ট বস্তুতে সন্তুষ্ট থাকা
দুনিয়াদার,সংসারী বা স্বার্থপরায়ণ
দুনিয়ার বার,সৃষ্টিছাড়া
দুনুমু করা,ইতঃস্তত করা
দু’নৌকায় পা,দুই বিপরীত পক্ষে সম্পর্ক বজায় রাখা
দুপায়ে দণ্ডবৎ,সশ্রদ্ধ প্রণাম বা ক্ষমা প্রার্থনা
দুমুখো লোক,দুই রকম কথা বলা বা কপটাচারী
দুমুখো সাপ,শত্রুতা সৃষ্টিকারী ব্যক্তি
দুমুঠো,সামান্য পরিমাণ
দুমেটে,দ্বিতীয়বার সংস্কার করা
দুয়ারে হাতীবাঁধা,প্রচুর ধনসম্পদের মালিক
দুর-দুর,ভয় বা উদ্বেগে বুকের কম্পন
দুরদৃষ্ট,দুর্ভাগ্য
দুরমুশ করা,প্রচণ্ড প্রহার করা
দুর্বাসা,কোপণস্বভাব ব্যক্তি
দুর্মুখ,কটুভাষী
দুলাল,আদরে প্রতিপালিত পুত্র
দুঃশাসন,নিপিড়ণমূলক শাসন বা ব্যক্তি
দুষ্টের আটারোগাছি পথ,দুষ্টের উপায়ের অভাব নেই
দু’হাত এক করা,বিয়ে দেওয়া বা বিবাহিত হওয়া
দূর ছাই,ঘৃণা বা বিরক্তি প্রকাশ
দূর ছাই করা,তুচ্ছতাচ্ছিল্য করা
দূরদর্শী,ভবিষ্যৎ অনুধাবনকারী
দূর দূর,ঘৃণা বা অসম্মতি প্রকাশ
দূর দূর করা,তাড়িয়ে দেওয়া
দূরদৃষ্টি,পরিণাম সম্পর্কে সচেতনতা
দূর্বা গজানো,খুব পুরাতন হওয়া
দৃঢ়মুষ্ঠি,কৃপণ
দৃঢ়মূল,গভীরভাবে প্রোথিত
দৃষ্টান্ত,প্রমাণের জন্য উদাহরণ
দৃষ্টির ব্যামো,কামুক দৃষ্টি
দেঁতো হাসি,কৃত্রিম হাসি
দেওয়াল তুলে দেওয়া,দেখা-সাক্ষাৎ বন্ধ বা ব্যবধান সৃষ্টি
দেওয়ালে পিঠ ঠেকা,উপায়হীন অবস্থা
দেওয়ালে মাথা ঠোকা,নিস্ফল চেষ্টা বা আক্ষেপ
দেওয়ালের কান থাকা,কিছু গোপন নয়
দেওয়ালের লিখন,পতনের আভাস
দেখতে দেখতে,অতি দ্রুত
